ST,PUMA,GEOID,SEX,RACE,EDUCATION,AGEG,alzheimer_prob,PWGTP
23,100,2300100,Male,Other,8,70-74,8.401315793,1
23,300,2300300,Female,Other,16,70-74,4.008883577,49
23,200,2300200,Female,Other,12,80-84,18.27410738,73
23,500,2300500,Female,Other,14,65-69,2.860048137,4
23,500,2300500,Female,Other,16,70-74,4.008883577,13
23,200,2300200,Female,Other,14,75-79,8.322500058,1
23,200,2300200,Male,Other,12,75-79,9.154741059,2
23,900,2300900,Male,Other,14,70-74,4.43061433,29
23,900,2300900,Female,Other,14,65-69,2.860048137,39
23,200,2300200,Male,Other,10,75-79,11.23002835,5
23,400,2300400,Female,Other,14,70-74,4.981624362,13
23,400,2300400,Male,Other,14,70-74,4.43061433,12
23,500,2300500,Female,Other,10,80-84,21.91790068,14
23,300,2300300,Female,Other,9,65-69,4.941879113,18
23,100,2300100,Male,Other,5,80-84,30.47275437,10
23,400,2300400,Male,Other,16,75-79,6.010117428,16
23,400,2300400,Female,Other,14,75-79,8.322500058,14
23,800,2300800,Male,Other,12,70-74,5.499823433,16
23,100,2300100,Female,Other,12,70-74,6.175212911,2
23,100,2300100,Male,Other,9,75-79,12.41458109,1
23,100,2300100,Male,Other,12,85+,32.56588642,2
23,100,2300100,Female,Other,12,80-84,18.27410738,2
23,1000,2301000,Female,Other,14,75-79,8.322500058,110
23,100,2300100,Male,Other,14,65-69,2.537435845,6
23,400,2300400,Female,Other,16,65-69,2.291587488,6
23,400,2300400,Male,Other,12,65-69,3.164907227,6
23,700,2300700,Male,Other,16,70-74,3.561434185,7
23,300,2300300,Female,Other,12,70-74,6.175212911,2
23,200,2300200,Male,Other,14,65-69,2.537435845,1
23,100,2300100,Female,Other,14,80-84,15.11879158,19
23,1000,2301000,Male,Other,14,65-69,2.537435845,157
23,900,2300900,Female,Other,18,85+,21.63319607,44
23,300,2300300,Female,Other,12,85+,35.32267164,18
23,100,2300100,Male,Other,18,70-74,2.857667742,8
23,100,2300100,Female,Other,14,70-74,4.981624362,9
23,300,2300300,Male,Other,8,75-79,13.70479135,1
23,100,2300100,Male,Other,18,70-74,2.857667742,9
23,100,2300100,Female,Other,18,65-69,1.833980414,11
23,800,2300800,Male,Other,16,65-69,2.031756168,28
23,800,2300800,Female,Other,16,65-69,2.291587488,39
23,300,2300300,Female,Other,16,85+,25.73585981,21
23,100,2300100,Male,Other,8,80-84,23.75735887,3
23,100,2300100,Female,Other,19,65-69,1.640084305,51
23,100,2300100,Male,Other,24,65-69,0.828115541,49
23,800,2300800,Male,Other,16,70-74,3.561434185,6
23,800,2300800,Female,Other,14,70-74,4.981624362,8
23,500,2300500,Female,Other,14,65-69,2.860048137,32
23,300,2300300,Male,Other,12,65-69,3.164907227,65
23,1000,2301000,Female,Other,18,80-84,10.15452867,14
23,200,2300200,Female,Other,12,85+,35.32267164,3
23,300,2300300,Female,Other,12,75-79,10.23037239,2
23,900,2300900,Male,Other,14,75-79,7.430859588,14
23,900,2300900,Female,Other,14,75-79,8.322500058,12
23,500,2300500,Female,Other,12,70-74,6.175212911,7
23,700,2300700,Male,Other,16,65-69,2.031756168,2
23,700,2300700,Female,Other,16,65-69,2.291587488,2
23,700,2300700,Female,Other,12,80-84,18.27410738,79
23,500,2300500,Male,Other,14,65-69,2.537435845,3
23,1000,2301000,Female,Other,14,65-69,2.860048137,8
23,1000,2301000,Male,Other,16,70-74,3.561434185,16
23,200,2300200,Male,Other,0,70-74,18.55310147,1
23,800,2300800,Male,Other,18,65-69,1.625171798,11
23,800,2300800,Female,Other,16,65-69,2.291587488,11
23,100,2300100,Female,Other,9,85+,43.44438546,6
23,900,2300900,Female,Other,19,65-69,1.640084305,9
23,800,2300800,Male,Other,16,70-74,3.561434185,12
23,800,2300800,Female,Other,14,75-79,8.322500058,109
23,800,2300800,Male,Other,12,70-74,5.499823433,80
23,900,2300900,Male,Other,16,70-74,3.561434185,9
23,900,2300900,Male,Other,12,80-84,16.50827556,18
23,100,2300100,Male,Other,12,65-69,3.164907227,2
23,300,2300300,Male,Other,12,75-79,9.154741059,4
23,400,2300400,Female,Other,14,80-84,15.11879158,21
23,200,2300200,Female,Other,12,65-69,3.564379297,18
23,100,2300100,Male,Other,12,80-84,16.50827556,23
23,300,2300300,Female,Other,12,75-79,10.23037239,22
23,200,2300200,Female,Other,12,85+,35.32267164,6
23,600,2300600,Male,Other,7,65-69,5.456181206,3
